trial_number,neutral,happy,sad,angry,fearful,disgusted,surprised,Average Happy,Face detected,No face detected,Fish clicked correctly,Fish clicked incorrectly,starfish_image
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1,0,0,0,image6.png
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,2,image2.png
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image1.png
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,1,image4.png
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image2.png
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image1.png
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image8.png
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image5.png
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image8.png
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image4.png
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image5.png
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image8.png
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image1.png
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image6.png
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image5.png
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image2.png
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image8.png
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,1,image8.png
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image5.png
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image8.png
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image4.png
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image6.png
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,22,0,0,1,image4.png
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,2,image4.png
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image5.png
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image5.png
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image1.png
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image7.png
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image6.png
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image2.png
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image5.png
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image3.png
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image3.png
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image8.png
35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image7.png
36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image2.png
37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image3.png
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image7.png
39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image1.png
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image2.png
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image8.png
42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image2.png
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image2.png
44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image3.png
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image1.png
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image7.png
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image1.png
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image7.png
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image2.png
50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image8.png
51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image3.png
52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image7.png
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image5.png
54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image3.png
55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,image4.png
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,1,image5.png
57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,image7.png
58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,22,0,0,1,image5.png
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,25,0,0,1,image8.png
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,image2.png
